state,year,quarter,DebtValue,Median_H_Inc,mean_AGI,MinWage,HPI,Delinquency_pct,Mean_Mpct,Med_Mpct,mean_CPI,ForeclosureRate,DTI_ratio,time
FL,2003,4,30.98881316703099,63050,48387,5.15,173.4,2.7027465145228216,0.8760123787872253,0.8486840329648281,186,0.08,4.204859128943707,2003-10-01
FL,2004,1,31.88257163002372,63282.5,49783.25,5.15,180.4875,2.671807217531162,0.7685719189581189,0.7479444888994905,188.2,0.07,3.9870073701542825,2004-01-01
FL,2004,2,33.12950566426365,63515,51179.5,5.15,187.575,2.4464783368952787,0.7294006642185575,0.7134462895747054,189.85,0.06,3.745978738098279,2004-04-01
FL,2004,3,34.65683130211674,63747.5,52575.75,5.15,194.6625,2.307798445308162,0.6902294094789961,0.6789480902499201,190.8,0.06,3.4985559896198666,2004-07-01
FL,2004,4,35.50105925402838,63980,53972,5.15,201.75,2.2810321880650997,0.6510581547394347,0.6444498909251349,192.89999999999998,0.06,3.339138343651232,2004-10-01
FL,2005,1,35.9037514209928,64470,55596.75,5.15,215.385,2.2252114335971855,0.6118868999998733,0.6099516916003498,195.5,0.05,3.229746504444527,2005-01-01
FL,2005,2,36.93459366871788,64960,57221.5,5.15,229.02,2.1785197526623152,0.6516322642888128,0.6141154040131964,197.2,0.04,3.0736432066783412,2005-04-01
FL,2005,3,39.17100418941221,65450,58846.25,5.15,242.65500000000003,2.085868092691622,0.6913776285777524,0.6182791164260432,200.6,0.05,2.8393972222168586,2005-07-01
FL,2005,4,39.8030236497083,65940,60471,5.15,256.29,1.9271798266351459,0.731122992866692,0.6224428288388899,200.85000000000002,0.04,2.739590979917185,2005-10-01
FL,2006,1,41.785647484257126,66475,61119.5,5.15,266.55,1.9306145926589076,0.7708683571556315,0.6266065412517365,204.3,0.04,2.602863642710161,2006-01-01
FL,2006,2,44.11874533233757,67010,61768,5.15,276.81,1.8092444632529272,1.2601592866495093,1.0851707057445847,206.45,0.05,2.4589682726342295,2006-04-01
FL,2006,3,46.489742141916054,67545,62416.5,5.15,287.07,1.899965182186235,1.7494502161433871,1.543734870237433,208.39999999999998,0.06,2.327751722455046,2006-07-01
FL,2006,4,48.716350947158524,68080,63065,5.15,297.33,2.4415425940138142,2.238741145637265,2.002299034730281,207.75,0.08,2.2159318339849103,2006-10-01
FL,2007,1,49.74886835741303,67697.5,61803,5.53,295.21,2.7187439860401343,2.728032075131143,2.4608631992231293,211.222,0.12,2.2018101419819573,2007-01-01
